query_text,department
"vomiting, weight loss, cough, fever",Pulmonology
"nausea, sweating, tremors, abdominal pain",Gastroenterology
"anxiety, diarrhea, fatigue",Gastroenterology
"appetite loss, rash, swelling, cough, weight loss",Cardiology
"anxiety, insomnia, fatigue, blurred vision, cough, runny nose, swelling",ENT
"anxiety, appetite loss, fatigue, weight loss, cough, abdominal pain, sweating",Psychiatry
"rash, nausea, back pain, chest pain",Orthopedics
"headache, depression, rash",Neurology
"runny nose, muscle pain, swelling, fever",ENT
"nausea, sore throat, shortness of breath, rash, blurred vision, muscle pain, swelling",ENT
"muscle pain, appetite loss, diarrhea, headache, tremors, back pain, blurred vision",Orthopedics
"runny nose, headache, swelling",Gastroenterology
"dizziness, joint pain, swelling, nausea, muscle pain",Pulmonology
"weight gain, cough, depression, blurred vision",Pulmonology
"joint pain, insomnia, blurred vision, weight loss, chest pain, dizziness",Orthopedics
"anxiety, headache, blurred vision, joint pain, runny nose, depression, vomiting",ENT
"blurred vision, rash, appetite loss, depression, joint pain, vomiting",General Medicine
"joint pain, back pain, headache, abdominal pain, weight loss",Neurology
"chest pain, abdominal pain, dizziness, swelling, depression, nausea, fever",Neurology
"sweating, swelling, chest pain, back pain",Cardiology
"sweating, rash, shortness of breath",Endocrinology
"swelling, depression, fatigue",Pulmonology
"runny nose, dizziness, diarrhea",Endocrinology
"tremors, anxiety, diarrhea, rash, chest pain, back pain, insomnia",Orthopedics
"abdominal pain, back pain, diarrhea, fatigue, dizziness, tremors",Orthopedics
"muscle pain, headache, sneezing",Pulmonology
"joint pain, weight gain, weight loss, abdominal pain, tremors, shortness of breath, sweating",Gastroenterology
"back pain, muscle pain, nausea, headache, abdominal pain, swelling",Orthopedics
"tremors, abdominal pain, fatigue, blurred vision, vomiting, runny nose, sneezing",ENT
"anxiety, tremors, muscle pain",Gastroenterology
"cough, abdominal pain, headache, fatigue, rash",Dermatology
"sweating, back pain, sneezing, fever",Cardiology
"muscle pain, sneezing, weight gain",Pulmonology
"appetite loss, joint pain, sneezing, sweating, back pain",Orthopedics
"abdominal pain, depression, runny nose, swelling",ENT
"sore throat, appetite loss, anxiety, insomnia, muscle pain",ENT
"cough, insomnia, runny nose, back pain, shortness of breath, depression, sore throat",Gastroenterology
"weight loss, depression, fatigue, sore throat, vomiting",General Medicine
"weight gain, abdominal pain, vomiting",Gastroenterology
"diarrhea, sweating, blurred vision, weight gain",Psychiatry
"joint pain, weight gain, cough, sneezing, tremors",Orthopedics
"fever, abdominal pain, dizziness, joint pain, shortness of breath, sore throat",Endocrinology
"headache, nausea, shortness of breath, swelling, sore throat",Endocrinology
"cough, anxiety, dizziness, nausea",Pulmonology
"cough, vomiting, diarrhea",Psychiatry
"abdominal pain, swelling, tremors, joint pain, fatigue, shortness of breath",Orthopedics
"sore throat, sneezing, fever, muscle pain, depression, diarrhea",Neurology
"diarrhea, swelling, weight loss",Gastroenterology
"runny nose, sore throat, depression, abdominal pain, vomiting, headache",ENT
"weight loss, muscle pain, runny nose, cough",Psychiatry
"fever, cough, sneezing, shortness of breath",Pulmonology
"sweating, depression, vomiting, weight gain, abdominal pain",Gastroenterology
"weight gain, sore throat, chest pain, sweating, joint pain, blurred vision, fatigue",Endocrinology
"muscle pain, vomiting, anxiety, abdominal pain, appetite loss",Neurology
"swelling, blurred vision, runny nose, shortness of breath, diarrhea",General Medicine
"anxiety, dizziness, fever, blurred vision, headache, depression",Cardiology
"insomnia, nausea, muscle pain",Gastroenterology
"weight loss, sore throat, appetite loss, depression, swelling, sweating",Neurology
"rash, sweating, joint pain",Orthopedics
"runny nose, fever, diarrhea, back pain",Gastroenterology
"vomiting, sore throat, sweating, anxiety, depression",Pulmonology
"cough, shortness of breath, sneezing, blurred vision, anxiety",Neurology
"fatigue, shortness of breath, weight gain, abdominal pain, sneezing, nausea",Psychiatry
"insomnia, tremors, anxiety, weight gain, nausea, sore throat, swelling",Endocrinology
"tremors, diarrhea, abdominal pain, back pain, shortness of breath, vomiting, insomnia",Cardiology
"shortness of breath, insomnia, weight loss, runny nose, fever, muscle pain, depression",Neurology
"muscle pain, tremors, shortness of breath, fatigue, insomnia",Pulmonology
"swelling, cough, back pain, diarrhea, sweating, shortness of breath, muscle pain",Gastroenterology
"vomiting, dizziness, sore throat, weight gain, fever, diarrhea",ENT
"vomiting, nausea, dizziness, chest pain",Pulmonology
"sneezing, muscle pain, appetite loss",Pulmonology
"sweating, shortness of breath, diarrhea, fatigue, sneezing",Pulmonology
"abdominal pain, appetite loss, diarrhea, sore throat, swelling",Psychiatry
"depression, runny nose, weight gain",ENT
"joint pain, dizziness, tremors",Pulmonology
"cough, chest pain, anxiety, depression, muscle pain, sore throat",General Medicine
"chest pain, tremors, joint pain",Neurology
"diarrhea, anxiety, appetite loss, insomnia, sweating, fever",Gastroenterology
"anxiety, tremors, fatigue, dizziness, depression, insomnia",Psychiatry
"weight gain, vomiting, fatigue, fever, anxiety",Neurology
"weight gain, headache, depression, abdominal pain",Psychiatry
"runny nose, nausea, diarrhea, headache, cough, back pain, swelling",Neurology
"chest pain, weight gain, weight loss, swelling, headache",Neurology
"chest pain, rash, fever, abdominal pain, weight gain",Dermatology
"abdominal pain, sweating, weight loss, tremors",General Medicine
"depression, vomiting, appetite loss, sore throat",Cardiology
"anxiety, blurred vision, dizziness, weight gain, swelling, appetite loss",Neurology
"fatigue, runny nose, appetite loss, cough",Gastroenterology
"blurred vision, diarrhea, runny nose, anxiety",General Medicine
"appetite loss, back pain, joint pain, vomiting, nausea",Endocrinology
"rash, fever, weight loss",Dermatology
"depression, weight gain, swelling, rash",Dermatology
"nausea, diarrhea, shortness of breath, back pain, dizziness",Cardiology
"fever, nausea, sweating, shortness of breath",Endocrinology
"depression, appetite loss, fatigue, dizziness, vomiting, chest pain",Gastroenterology
"insomnia, nausea, abdominal pain, appetite loss, anxiety",Psychiatry
"appetite loss, vomiting, weight loss, joint pain",Orthopedics
"depression, diarrhea, cough, swelling, anxiety, weight gain",Pulmonology
"dizziness, diarrhea, cough, depression",Psychiatry
"weight gain, sneezing, vomiting, back pain, sore throat, sweating, insomnia",ENT
"swelling, depression, tremors, abdominal pain, rash, sneezing",Neurology
"abdominal pain, blurred vision, sneezing, shortness of breath, weight gain",Gastroenterology
"vomiting, diarrhea, runny nose",General Medicine
"joint pain, weight gain, nausea, rash, shortness of breath, weight loss",Orthopedics
"abdominal pain, rash, diarrhea, weight gain, cough, runny nose",ENT
"runny nose, muscle pain, sweating, rash, sneezing, dizziness",ENT
"diarrhea, shortness of breath, depression, sore throat, rash, swelling",Endocrinology
"appetite loss, shortness of breath, diarrhea",Neurology
"weight loss, vomiting, dizziness",Gastroenterology
"back pain, sweating, swelling, insomnia, tremors",Cardiology
"tremors, swelling, blurred vision, back pain",Orthopedics
"chest pain, sweating, rash, appetite loss, joint pain",Orthopedics
"depression, abdominal pain, swelling, headache, joint pain, diarrhea",Orthopedics
"weight gain, appetite loss, weight loss, swelling, runny nose, back pain, dizziness",ENT
"muscle pain, swelling, blurred vision, vomiting",Gastroenterology
"headache, weight gain, tremors, chest pain, back pain",Orthopedics
"dizziness, diarrhea, muscle pain, insomnia, swelling",Psychiatry
"weight gain, fever, appetite loss, cough, headache",Pulmonology
"anxiety, weight gain, joint pain, appetite loss, vomiting, swelling, sore throat",General Medicine
"dizziness, weight gain, runny nose",Neurology
"insomnia, weight loss, nausea",Endocrinology
"nausea, vomiting, sore throat",Neurology
"insomnia, abdominal pain, sore throat, runny nose, cough",ENT
"tremors, muscle pain, joint pain, nausea, fatigue",Endocrinology
"joint pain, tremors, vomiting",Neurology
"nausea, anxiety, weight gain, chest pain, appetite loss, vomiting",Gastroenterology
"fever, headache, runny nose, sore throat",Cardiology
"abdominal pain, dizziness, weight gain, sneezing",Psychiatry
"chest pain, depression, runny nose",General Medicine
"joint pain, anxiety, sweating, appetite loss, tremors",Psychiatry
"back pain, muscle pain, runny nose, joint pain, insomnia, nausea, weight gain",Endocrinology
"tremors, nausea, shortness of breath, depression",General Medicine
"blurred vision, back pain, vomiting",Pulmonology
"sore throat, swelling, fatigue, abdominal pain, dizziness",Pulmonology
"abdominal pain, cough, runny nose, fever",Cardiology
"joint pain, dizziness, back pain, tremors, vomiting, swelling",Orthopedics
"dizziness, insomnia, back pain, runny nose",Pulmonology
"insomnia, diarrhea, blurred vision, runny nose, headache, sneezing, shortness of breath",Pulmonology
"anxiety, fatigue, nausea",Psychiatry
"nausea, sore throat, insomnia, swelling, fever, appetite loss",Endocrinology
"vomiting, blurred vision, cough, insomnia",Gastroenterology
"joint pain, blurred vision, chest pain",Orthopedics
"swelling, joint pain, vomiting",Orthopedics
"fever, muscle pain, dizziness",Cardiology
"diarrhea, fatigue, appetite loss",Gastroenterology
"cough, muscle pain, abdominal pain, fatigue",Endocrinology
"anxiety, vomiting, weight loss, joint pain",Neurology
"rash, dizziness, nausea",Cardiology
"joint pain, vomiting, runny nose",Gastroenterology
"depression, anxiety, rash, cough, sore throat",Psychiatry
"sneezing, fatigue, blurred vision, weight loss, weight gain, nausea, shortness of breath",Pulmonology
"insomnia, swelling, blurred vision, headache, dizziness, nausea",General Medicine
"sore throat, dizziness, fever, anxiety, weight gain, runny nose",ENT
"abdominal pain, weight gain, blurred vision, fever",Endocrinology
"chest pain, diarrhea, back pain",Orthopedics
"headache, rash, sneezing",Pulmonology
"depression, cough, diarrhea, back pain",Orthopedics
"headache, shortness of breath, dizziness, depression, appetite loss",Pulmonology
"depression, sweating, chest pain, swelling, fever, diarrhea",Psychiatry
"weight loss, cough, insomnia, diarrhea",Pulmonology
"anxiety, tremors, joint pain, abdominal pain",Endocrinology
"sore throat, tremors, sneezing",General Medicine
"vomiting, headache, sore throat, nausea",General Medicine
"sore throat, muscle pain, back pain, runny nose, chest pain, nausea, vomiting",ENT
"chest pain, weight gain, runny nose, depression",ENT
"joint pain, nausea, sneezing, runny nose, muscle pain",Pulmonology
"shortness of breath, joint pain, runny nose, chest pain",Endocrinology
"sneezing, sore throat, dizziness, headache, blurred vision, tremors, vomiting",Neurology
"back pain, tremors, rash, sneezing, joint pain, muscle pain, sweating",Orthopedics
"depression, weight gain, sore throat, muscle pain, cough",Neurology
"swelling, muscle pain, shortness of breath, back pain",Endocrinology
"blurred vision, cough, depression, joint pain, muscle pain",Neurology
"sweating, rash, depression",Neurology
"shortness of breath, anxiety, runny nose, insomnia",ENT
"insomnia, sweating, nausea, fever, fatigue, sore throat, depression",ENT
"sore throat, abdominal pain, vomiting, muscle pain, nausea, swelling, shortness of breath",ENT
"weight gain, chest pain, back pain, muscle pain, appetite loss, sore throat",Neurology
"sweating, headache, shortness of breath, back pain, vomiting",Orthopedics
"nausea, sweating, sneezing",Gastroenterology
"abdominal pain, muscle pain, depression, chest pain, back pain, sweating",Orthopedics
"vomiting, sneezing, nausea, abdominal pain",Endocrinology
"nausea, vomiting, cough, back pain",Psychiatry
"runny nose, depression, anxiety, fatigue, sweating, nausea",ENT
"shortness of breath, sore throat, dizziness",ENT
"insomnia, swelling, fatigue, fever, cough, shortness of breath",Neurology
"fatigue, vomiting, abdominal pain",Gastroenterology
"swelling, shortness of breath, sneezing, appetite loss, dizziness, anxiety, muscle pain",Pulmonology
"dizziness, sweating, diarrhea, rash, insomnia",Dermatology
"tremors, dizziness, appetite loss, fatigue, fever",General Medicine
"fever, anxiety, fatigue, tremors",Endocrinology
"rash, runny nose, anxiety, insomnia",ENT
"appetite loss, back pain, dizziness",Orthopedics
"joint pain, back pain, anxiety, sore throat, rash, muscle pain",ENT
"back pain, joint pain, chest pain",Orthopedics
"weight gain, appetite loss, blurred vision, abdominal pain, cough, headache, sneezing",Pulmonology
"tremors, runny nose, nausea, sweating, fatigue, sneezing, insomnia",Psychiatry
"swelling, insomnia, blurred vision, sore throat",Cardiology
"dizziness, joint pain, swelling, shortness of breath",Orthopedics
"insomnia, headache, weight loss",Neurology
"tremors, diarrhea, weight gain, swelling, anxiety",Psychiatry
"depression, tremors, appetite loss, weight loss, muscle pain, diarrhea",Gastroenterology
"fatigue, sore throat, dizziness",ENT
"weight gain, rash, headache",Endocrinology
"chest pain, cough, weight gain",Pulmonology
"swelling, rash, appetite loss, insomnia, headache",Dermatology
"fatigue, joint pain, fever, weight loss",Orthopedics
"sweating, diarrhea, sneezing, insomnia, runny nose",ENT
"sneezing, depression, vomiting, tremors, chest pain, blurred vision, joint pain",Cardiology
"tremors, back pain, appetite loss, diarrhea",Psychiatry
"back pain, joint pain, chest pain, insomnia, nausea, fever",Orthopedics
"rash, swelling, joint pain, appetite loss, sore throat, abdominal pain",ENT
"blurred vision, tremors, weight loss, joint pain",Orthopedics
"tremors, appetite loss, cough, blurred vision, chest pain, runny nose, depression",ENT
"chest pain, headache, vomiting, appetite loss, back pain, swelling",Orthopedics
"fatigue, insomnia, appetite loss, headache, joint pain, muscle pain, sweating",Gastroenterology
"sneezing, nausea, cough, fatigue, abdominal pain",Pulmonology
"depression, back pain, joint pain, diarrhea",Orthopedics
"chest pain, blurred vision, anxiety, nausea, depression, joint pain",Orthopedics
"swelling, runny nose, tremors",ENT
"rash, fever, fatigue, appetite loss, sore throat, swelling",Cardiology
"diarrhea, fever, weight gain, appetite loss, swelling, sneezing, shortness of breath",Pulmonology
"sneezing, depression, blurred vision, muscle pain, chest pain, weight gain",Endocrinology
"nausea, joint pain, blurred vision, fever, sweating, weight loss, appetite loss",Pulmonology
"sweating, weight gain, weight loss, blurred vision, depression, fatigue, vomiting",Pulmonology
"blurred vision, nausea, fever, weight loss, runny nose, dizziness, fatigue",ENT
"sore throat, weight loss, shortness of breath, tremors",Cardiology
"chest pain, rash, weight loss, nausea, muscle pain, insomnia, fever",Pulmonology
"insomnia, weight loss, runny nose, headache, weight gain",Neurology
"anxiety, weight loss, abdominal pain, vomiting, blurred vision",Neurology
"vomiting, headache, chest pain",Gastroenterology
"vomiting, weight gain, rash, shortness of breath, headache, anxiety, muscle pain",Dermatology
"depression, nausea, joint pain, runny nose, sore throat, shortness of breath",Cardiology
"vomiting, sore throat, depression, back pain, shortness of breath, appetite loss, blurred vision",ENT
"anxiety, nausea, muscle pain, headache, dizziness, appetite loss, joint pain",Orthopedics
"fatigue, weight loss, insomnia, muscle pain, sore throat",Pulmonology
"swelling, shortness of breath, headache, tremors, appetite loss",Gastroenterology
"diarrhea, joint pain, fatigue, appetite loss, nausea, abdominal pain",Pulmonology
"fatigue, abdominal pain, rash, blurred vision, weight gain, chest pain",Psychiatry
"nausea, dizziness, swelling",Pulmonology
"weight loss, anxiety, joint pain, sneezing, weight gain, headache, shortness of breath",Psychiatry
"insomnia, headache, joint pain, weight gain",Orthopedics
"blurred vision, swelling, diarrhea, insomnia, anxiety",Pulmonology
"appetite loss, runny nose, abdominal pain, chest pain, shortness of breath",ENT
"chest pain, depression, tremors, sore throat",ENT
"depression, sore throat, back pain",ENT
"sore throat, back pain, chest pain",ENT
"back pain, headache, sneezing, appetite loss, abdominal pain, insomnia, blurred vision",Orthopedics
"anxiety, vomiting, sweating",Gastroenterology
"back pain, rash, diarrhea, tremors, insomnia, abdominal pain, swelling",Orthopedics
"insomnia, swelling, abdominal pain, diarrhea",Gastroenterology
"abdominal pain, rash, cough, muscle pain",Psychiatry
"dizziness, insomnia, diarrhea",Gastroenterology
"sneezing, chest pain, shortness of breath, vomiting, fever",Pulmonology
"cough, rash, fever, anxiety, runny nose, dizziness",ENT
"back pain, nausea, joint pain, rash, fever",Orthopedics
"abdominal pain, headache, muscle pain",Cardiology
"diarrhea, sneezing, joint pain, rash, chest pain",Orthopedics
"fatigue, runny nose, insomnia, sweating, nausea",Neurology
"rash, tremors, blurred vision",Dermatology
"headache, joint pain, muscle pain",Orthopedics
"sneezing, insomnia, shortness of breath, fatigue",Endocrinology
"dizziness, swelling, joint pain, abdominal pain",Neurology
"appetite loss, fever, headache",Pulmonology
"cough, insomnia, sweating, dizziness",Pulmonology
"sneezing, chest pain, sweating, tremors, sore throat, muscle pain",ENT
"nausea, diarrhea, shortness of breath, swelling, fatigue, appetite loss, sweating",Endocrinology
"blurred vision, back pain, abdominal pain",Neurology
"depression, tremors, headache, diarrhea, fatigue, appetite loss, joint pain",Orthopedics
"muscle pain, fever, anxiety, vomiting",Pulmonology
"chest pain, blurred vision, depression, diarrhea, swelling, dizziness, muscle pain",Gastroenterology
"chest pain, fatigue, shortness of breath",Pulmonology
"diarrhea, dizziness, cough, nausea, appetite loss, fever",Pulmonology
"chest pain, sneezing, shortness of breath, anxiety",Gastroenterology
"rash, dizziness, chest pain, fatigue, swelling, insomnia",Cardiology
"dizziness, rash, back pain, appetite loss",Orthopedics
"diarrhea, depression, shortness of breath, vomiting, weight gain",Pulmonology
"fatigue, cough, weight gain, depression, vomiting, back pain, runny nose",ENT
"chest pain, back pain, sneezing, swelling, vomiting",Orthopedics
"muscle pain, weight loss, blurred vision, shortness of breath",Pulmonology
"runny nose, depression, blurred vision, fatigue, muscle pain",ENT
"appetite loss, fever, nausea, anxiety, shortness of breath, blurred vision, headache",Neurology
"back pain, sweating, joint pain, sneezing",General Medicine
"runny nose, swelling, abdominal pain, joint pain",Pulmonology
"vomiting, nausea, fever, weight gain, blurred vision",Gastroenterology
"shortness of breath, chest pain, diarrhea, sweating, blurred vision, tremors, weight loss",Neurology
"diarrhea, chest pain, cough, depression, headache, shortness of breath, back pain",General Medicine
"sore throat, blurred vision, weight loss, shortness of breath, back pain",Gastroenterology
"cough, depression, sweating, fever, rash",Dermatology
"weight loss, insomnia, tremors",Cardiology
"depression, shortness of breath, tremors, appetite loss, anxiety, weight loss",Endocrinology
"vomiting, weight gain, depression, appetite loss, tremors",Gastroenterology
"back pain, muscle pain, rash, headache",Orthopedics
"nausea, sweating, tremors, vomiting, weight gain, sneezing",Endocrinology
"chest pain, nausea, sweating",Gastroenterology
"headache, sore throat, muscle pain",Cardiology
"back pain, abdominal pain, headache",Orthopedics
"joint pain, fever, fatigue, sweating, depression, cough",Pulmonology
"depression, anxiety, fever, appetite loss",Cardiology
"tremors, blurred vision, sore throat, vomiting, headache",Endocrinology
"chest pain, dizziness, sneezing, headache",Psychiatry
"muscle pain, joint pain, headache, rash",Orthopedics
"insomnia, blurred vision, fatigue, sneezing, nausea, appetite loss",Pulmonology
"anxiety, dizziness, fatigue",Gastroenterology
"nausea, muscle pain, abdominal pain, dizziness",Gastroenterology
"insomnia, rash, shortness of breath, blurred vision, sore throat, fever",Cardiology
"joint pain, runny nose, back pain, appetite loss",Gastroenterology
"muscle pain, back pain, shortness of breath, headache, sore throat, dizziness, swelling",Pulmonology
"muscle pain, sneezing, blurred vision, tremors, anxiety, depression",Gastroenterology
"joint pain, muscle pain, weight loss, sneezing",Pulmonology
"sweating, diarrhea, joint pain, sore throat, weight gain, blurred vision, muscle pain",Neurology
"blurred vision, sore throat, diarrhea, rash",Psychiatry
"sneezing, headache, fatigue, cough, rash, back pain, sweating",Gastroenterology
"muscle pain, diarrhea, vomiting, sweating, cough, headache, fatigue",Psychiatry
"blurred vision, muscle pain, rash",Endocrinology
"sore throat, sneezing, anxiety, nausea, fever, headache, rash",ENT
"weight gain, sweating, muscle pain",Pulmonology
"back pain, abdominal pain, blurred vision, chest pain",Endocrinology
"appetite loss, depression, blurred vision, fever, chest pain, fatigue",Gastroenterology
"swelling, nausea, abdominal pain, sweating, fever, joint pain, muscle pain",General Medicine
"weight gain, abdominal pain, chest pain, blurred vision, diarrhea",Gastroenterology
"joint pain, headache, back pain, vomiting, tremors, anxiety, cough",Pulmonology
"anxiety, sweating, sore throat, blurred vision, runny nose, sneezing, dizziness",Psychiatry
"nausea, cough, appetite loss, rash, depression, muscle pain",Psychiatry
"rash, anxiety, swelling",Pulmonology
"nausea, weight loss, fatigue, sore throat, vomiting",ENT
"vomiting, depression, cough, diarrhea, shortness of breath, sore throat, weight gain",Cardiology
"cough, tremors, dizziness, sore throat, chest pain, fever",Psychiatry
"dizziness, swelling, joint pain, back pain",Neurology
"dizziness, muscle pain, back pain",Orthopedics
"fever, weight gain, appetite loss, joint pain",Psychiatry
"headache, insomnia, runny nose, sore throat",ENT
"depression, abdominal pain, swelling, dizziness, runny nose, headache, appetite loss",Neurology
"cough, blurred vision, swelling, insomnia, joint pain, diarrhea",Orthopedics
"weight gain, depression, sneezing, fatigue",Pulmonology
"weight loss, tremors, appetite loss, sore throat, sneezing",ENT
"nausea, sore throat, shortness of breath, weight gain, rash",Endocrinology
"shortness of breath, sneezing, tremors, swelling, runny nose, depression",Endocrinology
"rash, tremors, chest pain",Neurology
"runny nose, rash, abdominal pain, tremors",Pulmonology
"abdominal pain, runny nose, shortness of breath, insomnia, cough, anxiety",Pulmonology
"blurred vision, sweating, weight loss, fever",Psychiatry
"weight gain, joint pain, tremors, sore throat",ENT
"rash, runny nose, depression",ENT
"back pain, fatigue, joint pain, swelling",Pulmonology
"dizziness, anxiety, sneezing",Gastroenterology
"shortness of breath, runny nose, cough",Neurology
"dizziness, weight gain, cough, anxiety",Pulmonology
"appetite loss, muscle pain, sneezing, vomiting, cough",Pulmonology
"shortness of breath, depression, nausea, sore throat, headache",ENT
"tremors, blurred vision, runny nose, muscle pain, abdominal pain",Pulmonology
"sore throat, muscle pain, dizziness",Endocrinology
"muscle pain, sneezing, weight loss, blurred vision, appetite loss",Cardiology
"joint pain, sweating, fever, weight loss, anxiety, vomiting, sore throat",Gastroenterology
"dizziness, insomnia, sweating, back pain",Orthopedics
"sweating, headache, depression, runny nose, appetite loss, weight gain",ENT
"muscle pain, blurred vision, weight loss, swelling",Endocrinology
"vomiting, insomnia, weight gain, fever, rash",Cardiology
"rash, tremors, weight loss, muscle pain, abdominal pain, dizziness",Dermatology
"nausea, weight loss, anxiety, muscle pain, joint pain",Orthopedics
"depression, chest pain, blurred vision, anxiety, fatigue, sore throat",ENT
"anxiety, muscle pain, fatigue",General Medicine
"abdominal pain, weight gain, appetite loss, cough, insomnia, chest pain",Pulmonology
"weight loss, joint pain, fatigue, vomiting, sneezing, appetite loss",Orthopedics
"fever, rash, appetite loss, diarrhea, abdominal pain, chest pain",Pulmonology
"insomnia, diarrhea, fever, muscle pain, cough, appetite loss",Pulmonology
"sweating, back pain, anxiety, dizziness, swelling, nausea, weight gain",Psychiatry
"anxiety, depression, joint pain, sweating",Orthopedics
"back pain, nausea, joint pain, dizziness, abdominal pain, sweating",Orthopedics
"sweating, weight loss, nausea, dizziness, vomiting",Pulmonology
"sore throat, weight gain, joint pain, fever, back pain, headache, runny nose",ENT
"depression, diarrhea, chest pain, vomiting",Endocrinology
"swelling, shortness of breath, insomnia, cough, sweating, sore throat",ENT
"tremors, fatigue, sweating, runny nose, anxiety, appetite loss, blurred vision",General Medicine
"sore throat, sneezing, tremors, rash",ENT
"appetite loss, fever, muscle pain, sore throat, sneezing, depression",Pulmonology
"dizziness, depression, runny nose, nausea, swelling, chest pain",ENT
"tremors, cough, fatigue, dizziness, rash, sneezing, anxiety",Dermatology
"back pain, shortness of breath, fatigue, vomiting, anxiety, fever, weight loss",Endocrinology
"vomiting, tremors, rash, fatigue",Dermatology
"sore throat, back pain, blurred vision, headache",ENT
"rash, blurred vision, weight loss",Cardiology
"muscle pain, abdominal pain, joint pain, vomiting, shortness of breath, nausea",Endocrinology
"fatigue, weight gain, appetite loss, swelling, sweating, chest pain",Cardiology
"runny nose, muscle pain, anxiety, back pain, shortness of breath, dizziness",Neurology
"vomiting, weight gain, rash, appetite loss, depression, sore throat",ENT
"weight gain, muscle pain, chest pain, anxiety, sweating",Neurology
"fatigue, nausea, appetite loss",Gastroenterology
"sore throat, vomiting, insomnia, rash",Gastroenterology
"dizziness, blurred vision, fever",Pulmonology
"appetite loss, dizziness, diarrhea, weight loss, sore throat, joint pain, chest pain",ENT
"weight loss, shortness of breath, blurred vision",Cardiology
"insomnia, swelling, muscle pain, dizziness, sweating, vomiting",Gastroenterology
"shortness of breath, muscle pain, fatigue",Neurology
"weight gain, joint pain, diarrhea, fever, chest pain",Orthopedics
"chest pain, headache, joint pain, cough, weight loss, abdominal pain",Orthopedics
"dizziness, swelling, rash, joint pain, sore throat",ENT
"joint pain, chest pain, blurred vision",Orthopedics
"sweating, rash, anxiety",Pulmonology
"headache, fatigue, dizziness",General Medicine
"vomiting, back pain, appetite loss",Endocrinology
"shortness of breath, appetite loss, cough",Pulmonology
"dizziness, blurred vision, anxiety, appetite loss, joint pain",Pulmonology
"weight gain, runny nose, fatigue, headache",Pulmonology
"depression, runny nose, insomnia, fatigue, abdominal pain, back pain",ENT
"shortness of breath, dizziness, swelling, back pain, sneezing, diarrhea",Orthopedics
"rash, weight loss, sweating",Dermatology
"blurred vision, sore throat, sneezing, cough",Endocrinology
"sweating, joint pain, vomiting, sneezing, fatigue, dizziness",Cardiology
"swelling, chest pain, blurred vision, runny nose, depression",Neurology
"diarrhea, rash, joint pain, runny nose",Pulmonology
"vomiting, sore throat, shortness of breath, muscle pain, nausea, insomnia",ENT
"runny nose, fatigue, back pain, diarrhea",Pulmonology
"sneezing, insomnia, abdominal pain",Cardiology
"sore throat, rash, muscle pain, vomiting, headache, joint pain, abdominal pain",Pulmonology
"shortness of breath, rash, fatigue, cough, depression, joint pain",General Medicine
"joint pain, nausea, anxiety, shortness of breath",Orthopedics
"fatigue, insomnia, cough, depression, diarrhea, tremors",Neurology
"weight gain, shortness of breath, diarrhea",Pulmonology
"anxiety, blurred vision, joint pain, fatigue",Cardiology
"nausea, appetite loss, vomiting, rash",Neurology
"back pain, fever, fatigue, nausea, abdominal pain",Orthopedics
"tremors, blurred vision, diarrhea, nausea, dizziness",Endocrinology
"runny nose, headache, fever, insomnia, sneezing",Endocrinology
"sore throat, nausea, insomnia, swelling, tremors",Endocrinology
"fever, sneezing, diarrhea, sweating, fatigue, cough, tremors",Neurology
"abdominal pain, nausea, swelling, headache",Psychiatry
"runny nose, sneezing, back pain, rash, weight loss",ENT
"runny nose, fever, sweating, rash, chest pain",Cardiology
"sneezing, fatigue, shortness of breath, insomnia, abdominal pain, depression, fever",Pulmonology
"rash, sneezing, fever, diarrhea",Dermatology
"back pain, sore throat, vomiting, joint pain",Gastroenterology
"runny nose, abdominal pain, nausea, shortness of breath, insomnia, rash, dizziness",ENT
"vomiting, cough, weight gain, abdominal pain, blurred vision",Cardiology
"weight gain, appetite loss, sweating, rash, chest pain, fatigue",Dermatology
"sore throat, appetite loss, chest pain, fever, runny nose",Neurology
"fatigue, cough, sneezing, chest pain, fever, muscle pain, rash",Psychiatry
"rash, chest pain, appetite loss, tremors",Cardiology
"blurred vision, shortness of breath, headache",Pulmonology
"chest pain, diarrhea, cough",Pulmonology
"muscle pain, joint pain, fatigue, shortness of breath, chest pain, anxiety",Psychiatry
"vomiting, chest pain, sweating, sore throat, appetite loss, weight gain, depression",ENT
"fatigue, headache, abdominal pain, runny nose, blurred vision, dizziness",ENT
"rash, muscle pain, runny nose, sweating, swelling, appetite loss",Gastroenterology
"sore throat, swelling, headache, anxiety, chest pain, diarrhea",ENT
"weight loss, weight gain, chest pain, cough, joint pain, headache, back pain",Orthopedics
"runny nose, sweating, cough, sore throat, appetite loss, shortness of breath, depression",Psychiatry
"weight gain, sneezing, blurred vision, dizziness, tremors",Pulmonology
"back pain, blurred vision, cough, sweating, vomiting, abdominal pain, headache",Orthopedics
"chest pain, depression, back pain, fever",Orthopedics
"fatigue, sore throat, fever, headache",ENT
"vomiting, fatigue, sneezing, fever",Pulmonology
"fatigue, chest pain, joint pain",Orthopedics
"shortness of breath, sweating, anxiety, insomnia, runny nose, swelling, appetite loss",Psychiatry
"nausea, headache, sweating",General Medicine
"back pain, blurred vision, weight loss, vomiting, sneezing, tremors, chest pain",Endocrinology
